,0,1,0,0,0,1,2,3,4
108,365678650.0,0.15,3232.0,昱捷,"9999    000
3306     鼎天
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
8906     花王
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
109,764746920.0,-0.39,3234.0,光環,['000'],江興鍛4528,湧德3689,方方土霖4527,力旺3529
110,929208960.0,0.28,3236.0,千如,"['000', '光明', '000', '000']","['元創精密', '000', '000', '創威']","['000', '000', '000', '000']","['000', '000', '福裕', '000']",旺矽6223
111,501957540.0,0.45,3252.0,海灣,"9999    000
6482    弘煜科
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999     000
9999     000
9999     000
9999     000
6697    東捷資訊
Name: 0, dtype: string","3646    艾恩特
9999    000
6508     惠光
9999    000
9999    000
Name: 0, dtype: string","9999     000
9999     000
9999     000
6516    勤崴國際
9999     000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
112,746876420.0,-0.09,3259.0,鑫創,"9999    000
4167    松瑞藥
9999    000
9999    000
9999    000
Name: 0, dtype: string","3623    富晶通
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
5701    劍湖山
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
113,2665218490.0,0.22,3260.0,威剛,"['000', '業強', '000']","['000', '000', '000']","['000', '000', '000']",鈺創5351,精材3374
114,4901700760.0,1.45,3264.0,欣銓,['000'],晟德4123,中天4128,榮剛5009,合晶6182
115,1362616590.0,0.88,3265.0,台星科,"['000', '逸昌', '000']","['昇達科', '000', '大國鋼']","['000', '000', '000']",明安8938,強新5013
116,334262720.0,0.2,3268.0,海德威,"['000', '海德威', '000', '000']","['000', '000', '000', '夠麻吉']","['風青', '000', '普誠', '000']","['000', '000', '000', '000']",駿吉-KY1591
117,546143020.0,0.24,3272.0,東碩,['000'],滿心2916,德勝8048,雙美4728,旭源8421
118,697126660.0,0.37,3276.0,宇環,"9999    000
3289     宜特
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3276       宇環
9999      000
4129       聯合
5230    雷笛克光學
8917       欣泰
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
119,689617900.0,-0.75,3284.0,太普高,太普高3284,璟德3152,九暘8040,華盈3520,尚立3360
120,427353240.0,-0.11,3285.0,微端,['000'],鈺太6679,漢來美食1268,廣錠6441,馬光-KY4139
121,439704830.0,0.48,3287.0,廣寰科,"9999    000
3287    廣寰科
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3213     茂訊
9999    000
4535     至興
5315     光聯
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
5410     國眾
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
122,226600600.0,-1.51,3288.0,點晶,點晶3288,凌泰6198,哲固3434,松崗6240,永利聯合8080
123,797751210.0,0.37,3289.0,宜特,"9999    000
3289     宜特
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3276       宇環
9999      000
4129       聯合
5230    雷笛克光學
8917       欣泰
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
124,995489260.0,0.33,3290.0,東浦,"['000', '江興鍛']","['000', '000']",綠意2596,華宏8240,鈦昇8027
125,704503900.0,16.77,3293.0,鈊象,鈊象3293,台境8476,安勤3479,倚強科3219,亞都麗緻5703
126,1320159190.0,0.15,3294.0,英濟,"9999    000
3306     鼎天
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
8906     花王
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
127,360494450.0,-0.31,3297.0,杭特,"['000', '亞都麗緻', '000']","['000', '000', '得利影']","['000', '000', '000']",瑞耘6532,謚源2235
128,940906070.0,0.79,3303.0,岱稜,['000'],旺矽6223,德記5902,新復興4909,高技5439
